City,Current Energy,New Energy,Current Carbon,New Carbon,Current Cost,New Cost,Measures,Retrofit Cost,Target Met
Cambridge,213.327741423227,213.327741423227,44.902058814858,44.902058814858,1256.3678052589653,1256.3678052589653,Wall Insulation,1000.0,No
Boston,221.2030632742934,194.81001756263575,45.19420845600615,40.65973885180382,1142.7851058989288,1006.4326562893527,Solar PV,4500.0,No
Liverpool,234.448463168758,234.448463168758,48.94178787969078,48.94178787969078,1306.4977755028708,1306.4977755028708,Wall Insulation,1000.0,No
Sheffield,256.65818600152215,256.65818600152215,57.614208694519604,57.614208694519604,1215.5776274586847,1215.5776274586847,Wall Insulation,1000.0,No
