,mae,rmse,r2,mape,n_samples
energy,37.66679066211124,92.1168005917562,0.4235738531005182,17.047257254573854,20091.0
carbon,6.411069938193646,15.791879919248503,0.4508133897846144,16.297369565840263,20091.0
heating_cost,151.74024939592204,296.37395323859425,0.745615512822454,25.777033243528386,20085.0
hot_water_cost,37.82746307108267,64.98252132739646,0.6552763189150794,24.12452040301921,20085.0
lighting_cost,14.053010150578958,34.38960498017724,0.21529561967969313,18.10911936483279,20085.0
total_cost,182.8443097741206,334.89932309390474,0.7379247276779162,19.598505816718305,20091.0
